"year","country","value"
1998,"ROU",1
1998,"SWE",2
1998,"USA",1530
1998,"VEN",4
1998,"VGB",1
1998,"VIR",1
1998,"ZAF",2
1999,"ARG",1
1999,"AUS",30
1999,"AUT",1
1999,"BEL",3
1999,"BIH",1
1999,"BRA",2
1999,"CAN",133
1999,"CHL",1
1999,"CHN",4
1999,"COG",1
1999,"COL",2
1999,"CZE",1
1999,"DEU",1
1999,"DNK",1
1999,"DOM",1
1999,"ECU",2
1999,"ESP",1
1999,"FIN",2
1999,"FRA",2
1999,"GBR",65
1999,"GRC",2
1999,"HKG",1
1999,"IND",2
1999,"IRL",4
1999,"IRN",1
1999,"ISR",1
1999,"ITA",4
1999,"JPN",2
1999,"KOR",1
1999,"MEX",11
1999,"MYS",6
1999,"NLD",3
1999,"NOR",1
1999,"NZL",4
1999,"PAK",3
1999,"PAN",1
1999,"PHL",1
1999,"POL",2
1999,"PRI",2
1999,"PYF",1
1999,"RUS",1
1999,"SWE",2
1999,"THA",1
1999,"TUR",3
1999,"UGA",1
1999,"UKR",1
1999,"USA",2434
1999,"VEN",2
1999,"VIR",1
1999,"ZAF",7
2000,"AFG",1
2000,"ARG",1
2000,"AUS",29
2000,"AUT",2
2000,"BEL",1
2000,"BIH",1
2000,"BRA",1
2000,"CAN",127
2000,"CHE",2
2000,"CHL",1
2000,"CHN",2
2000,"COL",2
2000,"CRI",1
2000,"DEU",6
2000,"DNK",2
2000,"DOM",1
2000,"DZA",1
2000,"EGY",3
2000,"ESP",2
2000,"FIN",1
2000,"FRA",4
2000,"GBR",110
2000,"GRC",3
2000,"GRD",1
2000,"HUN",1
2000,"IND",6
2000,"IRL",6
2000,"IRN",1
2000,"ISR",1
2000,"JAM",1
2000,"JOR",1
2000,"JPN",2
2000,"LBN",1
2000,"LKA",1
2000,"LTU",1
2000,"MAR",1
2000,"MEX",12
2000,"MKD",1
2000,"MYS",6
2000,"NLD",8
2000,"NOR",2
2000,"NZL",4
2000,"PAK",2
2000,"PER",1
2000,"PHL",1
2000,"POL",1
2000,"ROU",2
2000,"RUS",1
2000,"SVN",1
2000,"SWE",3
2000,"TLS",1
2000,"TUR",4
2000,"URY",1
2000,"USA",2377
2000,"VEN",4
2000,"VNM",1
2000,"ZAF",4
2001,"ARE",1
2001,"AUS",45
2001,"BEL",4
2001,"BIH",2
2001,"BOL",2
2001,"BRA",3
2001,"BRN",1
2001,"CAN",184
2001,"CHE",1
2001,"CHL",2
2001,"CRI",2
2001,"CZE",1
2001,"DEU",5
2001,"DNK",4
2001,"EGY",1
2001,"ESP",7
2001,"FIN",2
2001,"FRA",3
2001,"GBR",143
2001,"GRC",7
2001,"HND",1
2001,"HUN",2
2001,"IND",16
2001,"IRL",13
2001,"ITA",2
2001,"LBN",3
2001,"LKA",3
2001,"LTU",1
2001,"MEX",9
2001,"MYS",7
2001,"NLD",4
2001,"NOR",7
2001,"NZL",14
2001,"PAK",1
2001,"PER",1
2001,"PHL",1
2001,"POL",2
2001,"PRT",6
2001,"RUS",3
2001,"SAU",1
2001,"SWE",1
2001,"THA",2
2001,"TTO",1
2001,"TUR",4
2001,"USA",2709
2001,"ZAF",11
2002,"ARE",2
2002,"ARG",3
2002,"AUS",55
2002,"AZE",1
2002,"BEL",8
2002,"BGR",1
2002,"BHS",3
2002,"BIH",5
2002,"BRA",6
2002,"BRB",1
2002,"BRN",1
2002,"CAN",224
2002,"CHE",2
2002,"CHL",3
2002,"CHN",4
2002,"COL",2
2002,"CRI",2
2002,"DEU",5
2002,"DNK",3
2002,"DZA",1
2002,"EGY",2
2002,"ESP",7
2002,"ETH",1
2002,"FIN",3
2002,"FRA",3
2002,"GBR",163
2002,"GRC",5
2002,"HND",1
2002,"HRV",1
2002,"HUN",2
2002,"IDN",2
2002,"IND",11
2002,"IRL",4
2002,"ISR",3
2002,"ITA",8
2002,"JOR",1
2002,"JPN",1
2002,"LBN",1
2002,"LKA",10
2002,"LTU",2
2002,"MEX",19
2002,"MLT",1
2002,"MYS",7
2002,"NLD",18
2002,"NZL",13
2002,"PAK",2
2002,"PER",1
2002,"PHL",2
2002,"POL",2
2002,"PRT",4
2002,"ROU",2
2002,"RUS",2
2002,"SAU",1
2002,"SEN",1
2002,"SGP",1
2002,"SVN",2
2002,"SWE",2
2002,"TUR",4
2002,"UKR",1
2002,"URY",2
2002,"USA",2689
2002,"ZAF",7
2003,"AFG",1
2003,"ARE",2
2003,"ARG",4
2003,"AUS",61
2003,"AZE",1
2003,"BEL",6
2003,"BHS",2
2003,"BRA",8
2003,"CAN",380
2003,"CHE",5
2003,"CHL",1
2003,"CHN",2
2003,"COL",1
2003,"CRI",3
2003,"CYP",1
2003,"DEU",11
2003,"DNK",5
2003,"DZA",1
2003,"ECU",3
2003,"ESP",10
2003,"FIN",6
2003,"FRA",6
2003,"GBR",158
2003,"GRC",3
2003,"HRV",2
2003,"HUN",2
2003,"IDN",2
2003,"IND",15
2003,"IRL",6
2003,"IRN",2
2003,"IRQ",4
2003,"ISL",2
2003,"ISR",2
2003,"ITA",3
2003,"JOR",1
2003,"JPN",3
2003,"KHM",1
2003,"KOR",1
2003,"LBN",2
2003,"LKA",2
2003,"LTU",2
2003,"MEX",17
2003,"MYS",11
2003,"NLD",22
