"year","country","shape","value"
2009,"AUS","circle",3
2010,"AUS","circle",3
2011,"AUS","circle",3
2012,"AUS","circle",1
2013,"AUS","circle",2
2014,"AUS","circle",3
2000,"AUT","circle",1
2009,"AUT","circle",1
1995,"BEL","circle",1
2002,"BEL","circle",1
2003,"BEL","circle",1
2004,"BEL","circle",1
2005,"BEL","circle",1
2008,"BEL","circle",1
2005,"BGR","circle",1
2011,"BGR","circle",1
2005,"BHS","circle",1
1999,"BIH","circle",1
2006,"BMU","circle",1
1975,"BRA","circle",2
1988,"BRA","circle",1
1997,"BRA","circle",1
2003,"BRA","circle",1
2006,"BRA","circle",2
2008,"BRA","circle",1
2011,"BRA","circle",1
2013,"BRA","circle",1
2005,"BRN","circle",1
1966,"CAN","circle",1
1970,"CAN","circle",1
1971,"CAN","circle",1
1973,"CAN","circle",1
1974,"CAN","circle",1
1975,"CAN","circle",1
1976,"CAN","circle",1
1977,"CAN","circle",1
1978,"CAN","circle",2
1979,"CAN","circle",1
1980,"CAN","circle",3
1984,"CAN","circle",1
1989,"CAN","circle",1
1990,"CAN","circle",1
1992,"CAN","circle",1
1993,"CAN","circle",1
1994,"CAN","circle",3
1996,"CAN","circle",4
1997,"CAN","circle",3
1998,"CAN","circle",8
1999,"CAN","circle",14
2000,"CAN","circle",18
2001,"CAN","circle",14
2002,"CAN","circle",17
2003,"CAN","circle",26
2004,"CAN","circle",23
2005,"CAN","circle",13
2006,"CAN","circle",20
2007,"CAN","circle",25
2008,"CAN","circle",15
2009,"CAN","circle",16
2010,"CAN","circle",17
2011,"CAN","circle",19
2012,"CAN","circle",39
2013,"CAN","circle",43
2014,"CAN","circle",8
1996,"CHE","circle",1
2001,"CHE","circle",1
2004,"CHE","circle",1
2009,"CHE","circle",1
2012,"CHE","circle",1
1997,"CHL","circle",1
2002,"CHL","circle",1
1988,"CHN","circle",1
1998,"CHN","circle",2
2002,"CHN","circle",1
2007,"CHN","circle",1
2009,"CHN","circle",1
2011,"CHN","circle",1
2012,"CHN","circle",1
2013,"CHN","circle",1
2006,"COL","circle",1
2008,"COL","circle",1
2011,"COL","circle",1
2014,"COL","circle",1
2009,"CRI","circle",1
1973,"CUB","circle",1
2007,"CYP","circle",1
2009,"CYP","circle",1
2013,"CYP","circle",1
1971,"DEU","circle",1
1979,"DEU","circle",1
1989,"DEU","circle",1
2000,"DEU","circle",2
2001,"DEU","circle",1
2003,"DEU","circle",1
2008,"DEU","circle",1
2012,"DEU","circle",2
2013,"DEU","circle",1
2014,"DEU","circle",1
2000,"DNK","circle",1
2001,"DNK","circle",1
2002,"DNK","circle",2
2006,"DNK","circle",1
2011,"DNK","circle",1
1986,"DOM","circle",1
2006,"DOM","circle",1
2000,"EGY","circle",1
2014,"EGY","circle",1
1968,"ESP","circle",1
1995,"ESP","circle",1
1996,"ESP","circle",1
1998,"ESP","circle",1
2000,"ESP","circle",1
2001,"ESP","circle",1
2002,"ESP","circle",4
2008,"ESP","circle",1
2010,"ESP","circle",3
2011,"ESP","circle",1
2012,"ESP","circle",2
2012,"ETH","circle",1
2013,"ETH","circle",1
2000,"FRA","circle",2
2006,"FRA","circle",1
2008,"FRA","circle",1
2009,"FRA","circle",1
2011,"FRA","circle",2
1970,"GBR","circle",1
1972,"GBR","circle",1
1974,"GBR","circle",1
1976,"GBR","circle",2
1977,"GBR","circle",2
1978,"GBR","circle",1
1979,"GBR","circle",3
1980,"GBR","circle",3
1981,"GBR","circle",1
1988,"GBR","circle",2
1989,"GBR","circle",1
1990,"GBR","circle",1
1993,"GBR","circle",1
1994,"GBR","circle",2
1996,"GBR","circle",3
1997,"GBR","circle",7
1998,"GBR","circle",5
1999,"GBR","circle",8
2000,"GBR","circle",5
2001,"GBR","circle",14
2002,"GBR","circle",15
2003,"GBR","circle",14
2004,"GBR","circle",9
2005,"GBR","circle",22
2006,"GBR","circle",23
2007,"GBR","circle",17
2008,"GBR","circle",31
2009,"GBR","circle",50
2010,"GBR","circle",22
2011,"GBR","circle",7
2012,"GBR","circle",20
2013,"GBR","circle",5
2014,"GBR","circle",3
2002,"GRC","circle",1
2014,"GRC","circle",1
2009,"GRD","circle",1
2013,"GTM","circle",1
1970,"HRV","circle",1
2005,"HRV","circle",1
2008,"HRV","circle",2
2012,"HRV","circle",1
2006,"HTI","circle",2
2003,"HUN","circle",1
2006,"HUN","circle",1
1978,"IND","circle",1
1982,"IND","circle",1
1985,"IND","circle",1
1993,"IND","circle",1
2001,"IND","circle",1
2002,"IND","circle",4
2003,"IND","circle",1
2004,"IND","circle",4
2005,"IND","circle",1
2006,"IND","circle",2
2007,"IND","circle",3
2008,"IND","circle",3
2009,"IND","circle",2
2010,"IND","circle",1
2012,"IND","circle",4
2013,"IND","circle",5
1999,"IRL","circle",1
