"year","country","shape","value"
2000,"USA","fireball",191
2001,"USA","fireball",167
2002,"USA","fireball",157
2003,"USA","fireball",165
2004,"USA","fireball",172
2005,"USA","fireball",181
2006,"USA","fireball",196
2007,"USA","fireball",194
2008,"USA","fireball",235
2009,"USA","fireball",196
2010,"USA","fireball",309
2011,"USA","fireball",501
2012,"USA","fireball",939
2013,"USA","fireball",876
2014,"USA","fireball",185
1997,"VEN","fireball",1
2005,"VEN","fireball",1
2011,"VIR","fireball",1
2012,"VIR","fireball",1
1983,"ZAF","fireball",1
1999,"ZAF","fireball",1
2001,"ZAF","fireball",1
2004,"ZAF","fireball",1
2009,"ZAF","fireball",1
2010,"ZAF","fireball",1
2012,"ZAF","fireball",2
2012,"ZMB","fireball",1
2004,"AFG","flash",1
1998,"ATG","flash",1
1998,"AUS","flash",1
2000,"AUS","flash",2
2003,"AUS","flash",1
2005,"AUS","flash",1
1977,"BRA","flash",1
2008,"BRA","flash",1
2011,"BRA","flash",1
1977,"CAN","flash",1
1987,"CAN","flash",1
1995,"CAN","flash",1
1997,"CAN","flash",2
1998,"CAN","flash",1
1999,"CAN","flash",1
2000,"CAN","flash",4
2001,"CAN","flash",4
2002,"CAN","flash",6
2003,"CAN","flash",10
2004,"CAN","flash",5
2005,"CAN","flash",5
2006,"CAN","flash",4
2007,"CAN","flash",5
2008,"CAN","flash",2
2009,"CAN","flash",7
2010,"CAN","flash",4
2011,"CAN","flash",2
2012,"CAN","flash",9
2013,"CAN","flash",7
2014,"CAN","flash",1
2010,"CHN","flash",1
2001,"CRI","flash",1
2005,"CYP","flash",1
1973,"CZE","flash",1
2004,"DEU","flash",2
2010,"DEU","flash",1
2012,"DOM","flash",1
1996,"ECU","flash",1
2009,"EGY","flash",1
2004,"ESP","flash",1
2006,"ESP","flash",1
2011,"ESP","flash",1
2002,"ETH","flash",1
1992,"GBR","flash",1
1998,"GBR","flash",1
1999,"GBR","flash",3
2001,"GBR","flash",4
2002,"GBR","flash",4
2003,"GBR","flash",4
2004,"GBR","flash",3
2005,"GBR","flash",2
2006,"GBR","flash",3
2007,"GBR","flash",1
2008,"GBR","flash",2
2009,"GBR","flash",3
2010,"GBR","flash",3
2012,"GBR","flash",2
2013,"GBR","flash",2
2014,"GBR","flash",1
2013,"HND","flash",1
2004,"IND","flash",1
2011,"IND","flash",1
2012,"IND","flash",2
2014,"IND","flash",1
2007,"IRL","flash",1
2013,"IRL","flash",1
1993,"IRN","flash",1
2004,"ISR","flash",1
2003,"JPN","flash",1
2006,"KOR","flash",1
2000,"MEX","flash",2
2008,"MEX","flash",1
2013,"MYS","flash",1
2006,"NLD","flash",1
1992,"NOR","flash",1
2001,"NZL","flash",1
2003,"NZL","flash",1
2004,"NZL","flash",1
2006,"NZL","flash",1
2001,"PAK","flash",1
2004,"POL","flash",1
1998,"PRI","flash",1
2009,"PRI","flash",1
2013,"PRI","flash",1
2006,"ROU","flash",1
2013,"ROU","flash",1
2012,"RUS","flash",1
2007,"SAU","flash",1
2003,"TUR","flash",1
2006,"TUR","flash",1
2011,"UKR","flash",2
1966,"USA","flash",1
1968,"USA","flash",1
1971,"USA","flash",1
1974,"USA","flash",1
1975,"USA","flash",1
1976,"USA","flash",2
1977,"USA","flash",1
1978,"USA","flash",2
1980,"USA","flash",1
1982,"USA","flash",1
1983,"USA","flash",1
1987,"USA","flash",3
1988,"USA","flash",1
1989,"USA","flash",1
1990,"USA","flash",3
1991,"USA","flash",1
1992,"USA","flash",2
1993,"USA","flash",1
1994,"USA","flash",7
1995,"USA","flash",4
1996,"USA","flash",5
1997,"USA","flash",7
1998,"USA","flash",32
1999,"USA","flash",48
2000,"USA","flash",34
2001,"USA","flash",36
2002,"USA","flash",55
2003,"USA","flash",56
2004,"USA","flash",59
2005,"USA","flash",78
2006,"USA","flash",60
2007,"USA","flash",56
2008,"USA","flash",85
2009,"USA","flash",77
2010,"USA","flash",68
2011,"USA","flash",88
2012,"USA","flash",121
2013,"USA","flash",124
2014,"USA","flash",39
2004,"VIR","flash",1
2009,"ZAF","flash",1
2012,"ARE","formation",1
1993,"AUS","formation",1
1999,"AUS","formation",1
2001,"AUS","formation",1
2002,"AUS","formation",2
2003,"AUS","formation",4
2004,"AUS","formation",1
2005,"AUS","formation",3
2006,"AUS","formation",1
2007,"AUS","formation",2
2008,"AUS","formation",1
2011,"AUS","formation",1
2012,"AUS","formation",1
2013,"AUS","formation",2
2014,"AUS","formation",1
1999,"BEL","formation",1
2001,"BEL","formation",1
2003,"BEL","formation",1
2004,"BEL","formation",1
2011,"BGD","formation",1
2014,"BGR","formation",1
2007,"BHS","formation",1
2013,"BLR","formation",1
1983,"BRA","formation",1
2004,"BRA","formation",1
2006,"BRA","formation",1
1968,"CAN","formation",1
1976,"CAN","formation",1
1978,"CAN","formation",1
1979,"CAN","formation",1
1980,"CAN","formation",1
1981,"CAN","formation",1
1982,"CAN","formation",1
1983,"CAN","formation",1
1987,"CAN","formation",1
1991,"CAN","formation",1
1995,"CAN","formation",1
1996,"CAN","formation",2
1997,"CAN","formation",5
1998,"CAN","formation",4
1999,"CAN","formation",5
2000,"CAN","formation",2
2001,"CAN","formation",10
2002,"CAN","formation",10
2003,"CAN","formation",5
2004,"CAN","formation",16
2005,"CAN","formation",6
2006,"CAN","formation",6
2007,"CAN","formation",8
2008,"CAN","formation",5
2009,"CAN","formation",1
2010,"CAN","formation",3
2011,"CAN","formation",7
2012,"CAN","formation",8
2013,"CAN","formation",7
2014,"CAN","formation",2
2000,"CHE","formation",1
2010,"CHE","formation",1
2000,"CHL","formation",1
2004,"CHN","formation",1
2008,"CHN","formation",1
2012,"CHN","formation",1
2003,"CRI","formation",1
1991,"DEU","formation",1
1998,"DEU","formation",1
2000,"DEU","formation",1
2008,"DEU","formation",2
1998,"DOM","formation",1
2009,"DOM","formation",1
2014,"DOM","formation",1
2003,"ESP","formation",1
2008,"ESP","formation",1
2011,"EST","formation",1
2002,"FIN","formation",1
1998,"FRA","formation",1
2002,"FRA","formation",1
2003,"FRA","formation",1
1968,"GBR","formation",1
1995,"GBR","formation",1
1999,"GBR","formation",5
2000,"GBR","formation",6
2001,"GBR","formation",6
2002,"GBR","formation",4
2003,"GBR","formation",4
2004,"GBR","formation",4
2005,"GBR","formation",7
2006,"GBR","formation",7
2007,"GBR","formation",12
2008,"GBR","formation",3
2009,"GBR","formation",4
2010,"GBR","formation",1
2011,"GBR","formation",3
2012,"GBR","formation",3
2013,"GBR","formation",2
2005,"GRC","formation",1
2007,"GRC","formation",1
2004,"HRV","formation",1
1993,"HUN","formation",1
2012,"HUN","formation",1
2004,"IDN","formation",1
2007,"IND","formation",2
2011,"IND","formation",1
1983,"IRL","formation",1
2002,"IRL","formation",1
2003,"IRL","formation",1
2007,"IRL","formation",2
2009,"IRL","formation",2
2010,"IRL","formation",1
2012,"IRL","formation",1
2006,"ITA","formation",1
2010,"ITA","formation",1
2000,"JOR","formation",1
2007,"JPN","formation",1
2001,"LBN","formation",1
1984,"MEX","formation",1
1991,"MEX","formation",1
1994,"MEX","formation",1
2005,"MEX","formation",1
2006,"MEX","formation",1
2011,"MEX","formation",1
2013,"MEX","formation",1
2001,"MYS","formation",1
2005,"NGA","formation",1
1993,"NLD","formation",1
1995,"NLD","formation",1
2000,"NLD","formation",2
2001,"NLD","formation",1
2003,"NLD","formation",1
2004,"NLD","formation",1
2006,"NLD","formation",1
2011,"NLD","formation",1
2012,"NLD","formation",1
2009,"NOR","formation",1
2011,"NOR","formation",1
1972,"NZL","formation",1
2002,"NZL","formation",1
2010,"PAK","formation",1
2013,"PER","formation",1
2010,"PHL","formation",1
2013,"PHL","formation",1
2008,"POL","formation",1
2011,"POL","formation",1
2011,"PRI","formation",1
2013,"PRI","formation",2
2014,"PRI","formation",1
1999,"PYF","formation",1
1986,"ROU","formation",1
1991,"RUS","formation",1
1983,"SLV","formation",1
1980,"SOM","formation",1
2008,"SRB","formation",1
2002,"SWE","formation",1
2003,"SWE","formation",1
1968,"THA","formation",1
1997,"THA","formation",1
2011,"TUN","formation",1
1968,"USA","formation",1
1971,"USA","formation",2
1972,"USA","formation",1
1973,"USA","formation",4
1975,"USA","formation",4
1976,"USA","formation",3
1977,"USA","formation",4
1978,"USA","formation",5
1979,"USA","formation",4
1980,"USA","formation",3
1981,"USA","formation",4
1982,"USA","formation",2
1983,"USA","formation",1
1984,"USA","formation",4
1985,"USA","formation",6
1986,"USA","formation",2
1987,"USA","formation",6
1988,"USA","formation",3
1989,"USA","formation",6
1990,"USA","formation",5
1991,"USA","formation",2
1992,"USA","formation",6
1993,"USA","formation",9
1994,"USA","formation",4
1995,"USA","formation",9
1996,"USA","formation",14
1997,"USA","formation",60
1998,"USA","formation",44
1999,"USA","formation",70
2000,"USA","formation",65
2001,"USA","formation",100
2002,"USA","formation",69
2003,"USA","formation",104
2004,"USA","formation",118
2005,"USA","formation",101
2006,"USA","formation",94
2007,"USA","formation",108
2008,"USA","formation",142
2009,"USA","formation",122
2010,"USA","formation",95
2011,"USA","formation",150
2012,"USA","formation",199
2013,"USA","formation",252
2014,"USA","formation",86
2003,"VEN","formation",1
2009,"VEN","formation",1
2002,"ZAF","formation",1
2005,"ZAF","formation",1
2010,"ZAF","formation",1
2005,"AFG","light",1
2012,"AFG","light",1
2001,"ARE","light",1
2010,"ARE","light",1
2012,"ARE","light",1
2000,"ARG","light",1
2002,"ARG","light",1
2011,"ARG","light",1
2012,"ARG","light",1
2013,"ARG","light",2
1976,"AUS","light",1
1982,"AUS","light",1
1983,"AUS","light",2
1984,"AUS","light",1
1990,"AUS","light",2
1991,"AUS","light",1
1995,"AUS","light",2
1996,"AUS","light",2
1997,"AUS","light",2
1998,"AUS","light",4
1999,"AUS","light",8
2000,"AUS","light",3
2001,"AUS","light",9
2002,"AUS","light",13
2003,"AUS","light",14
2004,"AUS","light",11
2005,"AUS","light",13
2006,"AUS","light",9
2007,"AUS","light",5
2008,"AUS","light",4
2009,"AUS","light",8
2010,"AUS","light",3
2011,"AUS","light",3
2012,"AUS","light",6
2013,"AUS","light",13
2014,"AUS","light",6
2005,"AUT","light",1
2012,"AUT","light",1
2013,"AUT","light",1
2003,"AZE","light",1
1999,"BEL","light",1
2002,"BEL","light",4
2003,"BEL","light",1
2004,"BEL","light",2
2007,"BEL","light",1
2009,"BEL","light",1
2011,"BEL","light",2
2014,"BEL","light",1
2005,"BGD","light",3
2012,"BGD","light",1
1993,"BGR","light",1
2004,"BGR","light",1
2009,"BGR","light",1
2010,"BGR","light",2
2012,"BGR","light",1
1995,"BHS","light",1
2002,"BHS","light",1
2009,"BHS","light",1
2012,"BHS","light",1
2011,"BIH","light",1
2004,"BLZ","light",1
2010,"BLZ","light",1
2006,"BMU","light",1
1975,"BRA","light",1
1997,"BRA","light",1
2001,"BRA","light",1
2003,"BRA","light",1
2004,"BRA","light",1
2005,"BRA","light",1
2006,"BRA","light",1
2007,"BRA","light",2
2009,"BRA","light",2
2010,"BRA","light",2
2011,"BRA","light",1
2012,"BRA","light",1
2012,"BRB","light",1
2001,"BRN","light",1
1962,"CAN","light",1
1966,"CAN","light",1
1970,"CAN","light",2
1973,"CAN","light",1
1975,"CAN","light",1
1976,"CAN","light",1
1977,"CAN","light",4
1978,"CAN","light",2
1980,"CAN","light",2
1982,"CAN","light",4
1983,"CAN","light",1
1984,"CAN","light",1
1985,"CAN","light",2
1986,"CAN","light",1
1987,"CAN","light",2
1988,"CAN","light",1
1990,"CAN","light",4
1991,"CAN","light",3
1994,"CAN","light",4
1995,"CAN","light",8
1996,"CAN","light",6
1997,"CAN","light",12
1998,"CAN","light",15
1999,"CAN","light",18
2000,"CAN","light",20
2001,"CAN","light",37
2002,"CAN","light",47
2003,"CAN","light",119
2004,"CAN","light",100
2005,"CAN","light",42
2006,"CAN","light",38
2007,"CAN","light",42
2008,"CAN","light",44
2009,"CAN","light",44
2010,"CAN","light",59
2011,"CAN","light",35
2012,"CAN","light",54
2013,"CAN","light",78
2014,"CAN","light",4
2000,"CHE","light",1
2003,"CHE","light",4
2007,"CHE","light",2
2010,"CHE","light",1
2011,"CHE","light",1
1981,"CHL","light",1
1989,"CHL","light",2
2001,"CHL","light",1
2002,"CHL","light",1
2008,"CHL","light",1
2011,"CHL","light",1
2002,"CHN","light",1
2005,"CHN","light",1
2006,"CHN","light",1
2012,"CHN","light",1
2013,"CHN","light",1
2003,"COL","light",1
2004,"COL","light",1
2013,"CRI","light",1
2004,"CUB","light",1
2006,"CUB","light",1
2009,"CYP","light",1
2012,"CYP","light",1
2001,"CZE","light",1
1975,"DEU","light",1
1987,"DEU","light",1
1994,"DEU","light",1
1996,"DEU","light",1
1997,"DEU","light",1
1999,"DEU","light",1
2000,"DEU","light",1
2001,"DEU","light",2
2002,"DEU","light",1
2003,"DEU","light",1
2004,"DEU","light",1
2007,"DEU","light",3
2008,"DEU","light",6
2009,"DEU","light",3
2010,"DEU","light",1
2011,"DEU","light",1
2013,"DEU","light",2
1992,"DNK","light",1
1999,"DNK","light",1
2001,"DNK","light",1
2003,"DNK","light",1
2005,"DNK","light",1
2007,"DNK","light",1
2008,"DNK","light",1
2009,"DNK","light",1
2012,"DNK","light",1
2013,"DNK","light",2
1992,"DOM","light",1
2004,"DOM","light",1
2012,"DZA","light",1
1996,"ECU","light",1
1999,"ECU","light",1
2004,"ECU","light",1
2008,"ECU","light",1
2002,"EGY","light",1
2005,"EGY","light",1
1975,"ESP","light",1
2003,"ESP","light",5
2005,"ESP","light",5
2009,"ESP","light",1
1990,"EST","light",1
2007,"EST","light",1
1977,"FIN","light",1
1999,"FIN","light",1
2001,"FIN","light",1
2002,"FIN","light",1
2005,"FIN","light",1
2008,"FIN","light",1
1966,"FRA","light",2
1978,"FRA","light",1
1997,"FRA","light",1
2003,"FRA","light",1
2004,"FRA","light",1
2010,"FRA","light",2
2011,"FRA","light",1
1971,"GBR","light",1
1972,"GBR","light",1
1975,"GBR","light",1
1976,"GBR","light",1
1978,"GBR","light",3
1979,"GBR","light",2
1984,"GBR","light",1
1986,"GBR","light",1
1987,"GBR","light",2
1989,"GBR","light",1
1990,"GBR","light",1
1993,"GBR","light",1
1994,"GBR","light",1
1995,"GBR","light",4
1996,"GBR","light",5
1997,"GBR","light",6
1998,"GBR","light",6
1999,"GBR","light",12
2000,"GBR","light",16
2001,"GBR","light",24
2002,"GBR","light",38
2003,"GBR","light",35
2004,"GBR","light",26
2005,"GBR","light",31
2006,"GBR","light",49
2007,"GBR","light",37
2008,"GBR","light",46
2009,"GBR","light",54
2010,"GBR","light",32
2011,"GBR","light",9
2012,"GBR","light",19
2013,"GBR","light",15
2014,"GBR","light",5
1966,"GRC","light",1
2000,"GRC","light",2
2001,"GRC","light",2
2002,"GRC","light",1
2003,"GRC","light",1
2005,"GRC","light",2
2008,"GRC","light",2
2010,"GRC","light",1
2013,"GRC","light",2
2010,"GTM","light",1
2014,"GTM","light",1
2010,"HND","light",1
2014,"HND","light",1
2005,"HRV","light",1
2007,"HRV","light",1
2008,"HRV","light",2
2013,"HRV","light",1
2014,"HRV","light",1
2001,"HUN","light",1
2012,"HUN","light",1
2006,"IDN","light",1
2007,"IDN","light",1
2011,"IDN","light",1
2013,"IDN","light",2
1978,"IND","light",1
1997,"IND","light",1
1999,"IND","light",1
2000,"IND","light",1
2001,"IND","light",1
2002,"IND","light",1
2003,"IND","light",1
2004,"IND","light",1
2005,"IND","light",2
2006,"IND","light",1
2007,"IND","light",3
2008,"IND","light",2
2009,"IND","light",2
2011,"IND","light",1
2012,"IND","light",1
2013,"IND","light",4
2014,"IND","light",2
1986,"IRL","light",1
1998,"IRL","light",1
1999,"IRL","light",1
2000,"IRL","light",1
2001,"IRL","light",3
2003,"IRL","light",1
2004,"IRL","light",3
2005,"IRL","light",3
2006,"IRL","light",2
2007,"IRL","light",1
2008,"IRL","light",2
2009,"IRL","light",1
2010,"IRL","light",3
2013,"IRL","light",1
2004,"IRN","light",2
2005,"IRN","light",1
2006,"IRN","light",2
2007,"IRN","light",2
2008,"IRN","light",1
2011,"IRN","light",2
2012,"IRN","light",1
2004,"IRQ","light",2
2005,"IRQ","light",1
2006,"IRQ","light",1
2004,"ISL","light",1
2010,"ISL","light",1
2002,"ISR","light",1
2004,"ISR","light",3
2005,"ISR","light",1
2007,"ISR","light",2
2012,"ISR","light",1
2013,"ISR","light",2
2009,"ITA","light",1
2010,"ITA","light",1
2012,"ITA","light",1
2004,"JAM","light",1
2012,"JAM","light",2
2002,"JOR","light",1
2008,"JOR","light",1
1979,"JPN","light",1
1995,"JPN","light",1
2006,"JPN","light",2
2007,"JPN","light",2
2008,"JPN","light",1
2009,"JPN","light",1
2010,"JPN","light",2
2011,"JPN","light",1
2012,"JPN","light",2
2013,"KEN","light",1
1990,"KOR","light",1
2005,"KOR","light",1
2011,"KOR","light",2
2001,"LBN","light",1
2004,"LBN","light",1
1997,"LBY","light",1
1993,"LKA","light",1
2002,"LKA","light",1
2003,"LKA","light",1
2008,"LKA","light",1
2007,"LSO","light",1
2000,"LTU","light",1
2001,"LTU","light",1
2003,"LTU","light",1
2008,"LTU","light",1
2013,"LUX","light",1
2010,"MDV","light",1
1972,"MEX","light",1
1991,"MEX","light",1
1994,"MEX","light",1
1996,"MEX","light",2
1998,"MEX","light",3
1999,"MEX","light",1
2000,"MEX","light",2
2001,"MEX","light",3
2002,"MEX","light",2
2003,"MEX","light",2
2004,"MEX","light",9
2005,"MEX","light",7
2006,"MEX","light",2
2007,"MEX","light",1
2008,"MEX","light",1
2009,"MEX","light",3
2010,"MEX","light",4
2011,"MEX","light",2
2012,"MEX","light",3
2013,"MEX","light",4
2014,"MEX","light",1
2004,"MKD","light",1
2006,"MLT","light",1
2004,"MMR","light",1
2007,"MNG","light",1
2009,"MUS","light",1
2013,"MUS","light",1
2002,"MYS","light",2
2003,"MYS","light",3
2009,"MYS","light",1
2012,"MYS","light",1
2008,"NAM","light",1
2009,"NAM","light",1
1991,"NGA","light",1
2013,"NIC","light",1
1974,"NLD","light",1
1994,"NLD","light",1
1996,"NLD","light",1
1998,"NLD","light",1
2001,"NLD","light",1
2002,"NLD","light",5
2003,"NLD","light",6
2004,"NLD","light",3
2005,"NLD","light",1
2007,"NLD","light",3
2009,"NLD","light",2
2010,"NLD","light",1
2012,"NLD","light",2
2013,"NLD","light",1
1992,"NOR","light",1
1999,"NOR","light",1
2001,"NOR","light",3
2003,"NOR","light",1
2007,"NOR","light",1
2009,"NOR","light",1
2011,"NOR","light",2
1978,"NZL","light",1
1985,"NZL","light",1
1992,"NZL","light",1
1993,"NZL","light",1
1998,"NZL","light",1
2001,"NZL","light",5
2002,"NZL","light",1
2003,"NZL","light",1
2004,"NZL","light",5
2005,"NZL","light",3
2009,"NZL","light",1
2010,"NZL","light",5
2012,"NZL","light",1
2013,"NZL","light",1
2014,"NZL","light",1
2000,"PAK","light",1
2002,"PAK","light",1
2004,"PAK","light",1
2007,"PAK","light",1
1999,"PAN","light",1
1997,"PER","light",1
2003,"PER","light",1
2008,"PER","light",1
2009,"PER","light",1
1970,"PHL","light",1
1987,"PHL","light",1
1996,"PHL","light",1
2000,"PHL","light",1
2007,"PHL","light",1
2010,"PHL","light",2
2012,"PHL","light",1
2014,"PHL","light",2
1995,"POL","light",1
2001,"POL","light",1
2004,"POL","light",2
2012,"POL","light",1
2013,"POL","light",1
1977,"PRI","light",1
1978,"PRI","light",1
1990,"PRI","light",2
1995,"PRI","light",1
2003,"PRI","light",1
2006,"PRI","light",3
2007,"PRI","light",1
2008,"PRI","light",3
2010,"PRI","light",1
2011,"PRI","light",1
2012,"PRI","light",2
2013,"PRI","light",2
2014,"PRI","light",1
1996,"PRT","light",1
2001,"PRT","light",1
2003,"PRT","light",1
2004,"PRT","light",1
2006,"PRT","light",2
2007,"PRT","light",1
2011,"PRT","light",1
2012,"PRT","light",1
2013,"PRT","light",1
2012,"ROU","light",3
2013,"ROU","light",1
1994,"RUS","light",1
2000,"RUS","light",1
2002,"RUS","light",1
2004,"RUS","light",1
2008,"RUS","light",1
2005,"SAU","light",1
2007,"SAU","light",1
2002,"SEN","light",1
2003,"SEN","light",1
2012,"SLV","light",1
2006,"SVK","light",1
2010,"SVK","light",1
1997,"SVN","light",2
2011,"SVN","light",2
2014,"SVN","light",1
1968,"SWE","light",1
1994,"SWE","light",1
2003,"SWE","light",1
2004,"SWE","light",1
2010,"SWE","light",1
2011,"SWE","light",1
2012,"SWE","light",1
2006,"SYR","light",1
2004,"THA","light",3
2010,"THA","light",1
2013,"TTO","light",1
2013,"TUN","light",1
2000,"TUR","light",1
2001,"TUR","light",3
2003,"TUR","light",1
2010,"TUR","light",1
2014,"TUR","light",1
1962,"USA","light",6
1966,"USA","light",17
1968,"USA","light",19
1970,"USA","light",14
1971,"USA","light",13
1972,"USA","light",21
1973,"USA","light",19
1974,"USA","light",24
1975,"USA","light",36
1976,"USA","light",32
1977,"USA","light",23
1978,"USA","light",29
1979,"USA","light",26
1980,"USA","light",31
1981,"USA","light",16
1982,"USA","light",22
1983,"USA","light",6
1984,"USA","light",15
1985,"USA","light",17
1986,"USA","light",14
1987,"USA","light",22
1988,"USA","light",22
1989,"USA","light",17
1990,"USA","light",32
1991,"USA","light",29
1992,"USA","light",28
1993,"USA","light",34
1994,"USA","light",45
1995,"USA","light",76
1996,"USA","light",93
1997,"USA","light",231
1998,"USA","light",286
1999,"USA","light",463
2000,"USA","light",490
2001,"USA","light",586
2002,"USA","light",542
2003,"USA","light",646
2004,"USA","light",778
2005,"USA","light",779
2006,"USA","light",637
2007,"USA","light",843
2008,"USA","light",925
2009,"USA","light",1004
2010,"USA","light",849
2011,"USA","light",1037
2012,"USA","light",1413
2013,"USA","light",1396
2014,"USA","light",469
1987,"UZB","light",1
2005,"UZB","light",1
1998,"VEN","light",1
1999,"VEN","light",1
2010,"VEN","light",1
2009,"VGB","light",1
1983,"VIR","light",1
1997,"VIR","light",1
1999,"VIR","light",1
2010,"VIR","light",1
1968,"VNM","light",3
2000,"VNM","light",1
1972,"ZAF","light",1
1992,"ZAF","light",1
1996,"ZAF","light",1
1997,"ZAF","light",1
1998,"ZAF","light",1
2000,"ZAF","light",1
2001,"ZAF","light",2
2002,"ZAF","light",2
2003,"ZAF","light",5
2005,"ZAF","light",1
2006,"ZAF","light",1
2008,"ZAF","light",2
2009,"ZAF","light",1
2010,"ZAF","light",3
2011,"ZAF","light",5
2012,"ZAF","light",6
2013,"ZAF","light",5
2014,"ZAF","light",1
2009,"ARE","other",1
1999,"ARG","other",1
2002,"ARG","other",1
2004,"ARG","other",1
2010,"ATG","other",1
1980,"AUS","other",1
1986,"AUS","other",1
1990,"AUS","other",1
1992,"AUS","other",1
1993,"AUS","other",1
1996,"AUS","other",2
1997,"AUS","other",2
1998,"AUS","other",3
1999,"AUS","other",2
2000,"AUS","other",4
2001,"AUS","other",4
2002,"AUS","other",3
2003,"AUS","other",2
2004,"AUS","other",4
2005,"AUS","other",4
2006,"AUS","other",3
2007,"AUS","other",1
2008,"AUS","other",3
2009,"AUS","other",1
2011,"AUS","other",3
2012,"AUS","other",2
2013,"AUS","other",4
1999,"AUT","other",1
2009,"AUT","other",1
2004,"AZE","other",1
1997,"BEL","other",1
2001,"BEL","other",2
2002,"BEL","other",1
2003,"BEL","other",1
2013,"BEL","other",1
2005,"BGD","other",1
2012,"BGD","other",1
2002,"BGR","other",1
2008,"BGR","other",1
2003,"BHS","other",1
2005,"BHS","other",1
2001,"BIH","other",1
2009,"BLZ","other",1
1998,"BMU","other",1
1984,"BRA","other",1
2003,"BRA","other",1
2006,"BRA","other",1
1991,"BRN","other",1
1966,"CAN","other",2
1968,"CAN","other",1
1972,"CAN","other",1
1975,"CAN","other",2
1976,"CAN","other",3
1977,"CAN","other",2
1978,"CAN","other",2
1979,"CAN","other",2
1985,"CAN","other",2
1987,"CAN","other",3
1991,"CAN","other",2
1992,"CAN","other",1
1993,"CAN","other",1
1994,"CAN","other",1
1995,"CAN","other",3
1996,"CAN","other",4
1997,"CAN","other",5
1998,"CAN","other",6
1999,"CAN","other",11
2000,"CAN","other",5
2001,"CAN","other",14
2002,"CAN","other",19
2003,"CAN","other",35
2004,"CAN","other",46
2005,"CAN","other",18
2006,"CAN","other",9
2007,"CAN","other",27
2008,"CAN","other",10
2009,"CAN","other",7
2010,"CAN","other",16
2011,"CAN","other",19
2012,"CAN","other",16
2013,"CAN","other",21
2014,"CAN","other",4
2004,"CHE","other",1
2006,"CHL","other",1
1999,"CHN","other",1
2003,"CHN","other",1
2005,"CHN","other",1
2009,"CHN","other",1
2000,"COL","other",1
2001,"CRI","other",1
2002,"CRI","other",1
2005,"CRI","other",1
2012,"CRI","other",1
1994,"CUB","other",1
2013,"CYP","other",1
1990,"DEU","other",1
1998,"DEU","other",1
2001,"DEU","other",2
2002,"DEU","other",1
2003,"DEU","other",2
2004,"DEU","other",1
2007,"DEU","other",2
2008,"DEU","other",1
2009,"DEU","other",1
2011,"DOM","other",1
2000,"DZA","other",1
2003,"ECU","other",1
1979,"EGY","other",1
2011,"EGY","other",1
2001,"ESP","other",2
2003,"ESP","other",1
2004,"ESP","other",1
2006,"ESP","other",1
2008,"ESP","other",1
1995,"EST","other",1
2006,"EST","other",1
2010,"ETH","other",2
2000,"FIN","other",1
2001,"FIN","other",1
2003,"FIN","other",2
2005,"FIN","other",4
2010,"FIN","other",1
1986,"FJI","other",1
1988,"FRA","other",1
1991,"FRA","other",2
1998,"FRA","other",1
2001,"FRA","other",1
2008,"FRA","other",1
2010,"FRA","other",1
2011,"FRA","other",1
1966,"GBR","other",1
1971,"GBR","other",1
1976,"GBR","other",2
1978,"GBR","other",2
1979,"GBR","other",1
1980,"GBR","other",3
1983,"GBR","other",2
1984,"GBR","other",1
1986,"GBR","other",1
1987,"GBR","other",2
1989,"GBR","other",1
1992,"GBR","other",1
1993,"GBR","other",2
1994,"GBR","other",1
1995,"GBR","other",3
1996,"GBR","other",1
1997,"GBR","other",2
1998,"GBR","other",4
1999,"GBR","other",8
2000,"GBR","other",8
2001,"GBR","other",13
2002,"GBR","other",11
2003,"GBR","other",10
2004,"GBR","other",6
2005,"GBR","other",12
2006,"GBR","other",15
2007,"GBR","other",12
2008,"GBR","other",11
2009,"GBR","other",12
2010,"GBR","other",7
2011,"GBR","other",4
2012,"GBR","other",12
2013,"GBR","other",6
2014,"GBR","other",4
2005,"GHA","other",1
1997,"GRC","other",1
1998,"GRC","other",1
1999,"GRC","other",1
2001,"GRC","other",1
2006,"GRC","other",1
2007,"GRC","other",1
2011,"GRC","other",1
2012,"GRC","other",1
2004,"GTM","other",1
1999,"HKG","other",1
2006,"HUN","other",1
1980,"IND","other",1
1985,"IND","other",1
1991,"IND","other",1
1994,"IND","other",3
1999,"IND","other",1
2000,"IND","other",1
2001,"IND","other",1
2002,"IND","other",1
2003,"IND","other",2
2004,"IND","other",3
2005,"IND","other",1
2007,"IND","other",1
2008,"IND","other",1
2009,"IND","other",1
2011,"IND","other",1
2012,"IND","other",2
2013,"IND","other",2
2014,"IND","other",1
1979,"IRL","other",1
2004,"IRL","other",1
2008,"IRL","other",2
2007,"IRN","other",1
2009,"IRN","other",1
2012,"IRN","other",1
2006,"IRQ","other",1
2009,"IRQ","other",1
2004,"ISL","other",1
2006,"ISR","other",1
2002,"ITA","other",1
2003,"ITA","other",1
2005,"ITA","other",1
2008,"ITA","other",1
1976,"JPN","other",1
1995,"JPN","other",1
2005,"JPN","other",1
2007,"JPN","other",1
2008,"JPN","other",1
1985,"KOR","other",1
2000,"LBN","other",1
2003,"LBN","other",1
2010,"LBN","other",1
2003,"LKA","other",1
2006,"LKA","other",1
2003,"LTU","other",1
1995,"MEX","other",1
