"year","country","sightings","gdp","unemployment","internet","scifi"
1961,"AUT",0,7311749633.36,0,0,0
1962,"AUT",0,7756110210.12,0,0,0
1963,"AUT",0,8374175257.73,0,0,0
1964,"AUT",0,9169983885.71,0,0,0
1965,"AUT",0,9994070615.86,0,0,0
1966,"AUT",0,10887682273.1,0,0,0
1967,"AUT",0,11579431668.9,0,0,0
1968,"AUT",0,12440625312.9,0,0,0
1969,"AUT",0,13582798556.2,0,0,0
1970,"AUT",0,15335972267.8,0,0,0
1971,"AUT",0,17815464919.0,0,0,0
1972,"AUT",0,22006470861.4,0,0,0
1973,"AUT",0,29444365310.3,0,0,0
1974,"AUT",0,35104529078.3,0,0,0
1975,"AUT",0,39962704274.3,0,0,0
1976,"AUT",0,42856485617.9,0,0,0
1977,"AUT",0,51421585629.8,0,0,0
1978,"AUT",0,61902774945.5,0,0,0
1979,"AUT",0,73759181883.7,0,0,0
1980,"AUT",0,81861232822.8,0,0,0
1981,"AUT",0,70863106877.5,0,0,0
1982,"AUT",0,71103585383.6,0,0,0
1983,"AUT",0,71947277233.0,0,0,0
1984,"AUT",0,67821568599.1,0,0,0
1985,"AUT",0,69219621907.4,0,0,0
1986,"AUT",0,98797587381.7,0,0,0
1987,"AUT",0,1.23869321397e+11,0,0,0
1988,"AUT",0,1.33018182771e+11,0,0,0
1989,"AUT",0,1.32785154342e+11,0,0,0
1990,"AUT",0,1.6606237674e+11,0,0.130369377,0
1991,"AUT",0,1.73375508073e+11,3.40000009537,0.259081553,0
1992,"AUT",0,1.94608183696e+11,3.59999990463,0.642817619,0
1993,"AUT",0,1.89921096652e+11,4.30000019073,0.76534273,0
1994,"AUT",0,2.03044926876e+11,3.53500008583,1.393422968,0
1995,"AUT",0,2.40457622492e+11,4.34700012207,1.890210524,0
1996,"AUT",0,2.36720496491e+11,5.28100013733,6.909162353,0
1997,"AUT",0,2.1232346375e+11,5.14900016785,9.533974317,0
1998,"AUT",0,2.17683626056e+11,5.52299976349,15.42121932,0
1999,"AUT",1,2.16725261027e+11,4.69799995422,23.0443171,0
2000,"AUT",2,1.96421706283e+11,4.68699979782,33.73013295,0
2001,"AUT",0,1.96953628635e+11,4.00699996948,39.18545018,0
2002,"AUT",0,2.12970685112e+11,4.84899997711,36.56,0
2003,"AUT",0,2.60721478555e+11,4.77799987793,42.7,0
2004,"AUT",0,2.99857238639e+11,5.83400011063,54.28,0
2005,"AUT",1,3.14648986444e+11,5.62799978256,58.0,0
2006,"AUT",0,3.34309371472e+11,5.24300003052,63.6,0
2007,"AUT",0,3.86458951547e+11,4.85799980164,69.37,0
2008,"AUT",1,4.27611527757e+11,4.12799978256,72.87,0
2009,"AUT",2,3.97594276188e+11,5.30100011826,73.45,0
2010,"AUT",0,3.9021186649e+11,4.82000017166,75.17,0
2011,"AUT",0,4.29037361514e+11,4.5640001297,78.7399931,0
2012,"AUT",2,4.07451583084e+11,4.86499977112,80.02999392,0
2013,"AUT",1,4.28248420485e+11,5.33500003815,80.6188,0
2014,"AUT",0,4.38376178526e+11,5.61999988556,80.99582496,0
1960,"AZE",0,0,0,0,0
1961,"AZE",0,0,0,0,0
1962,"AZE",0,0,0,0,0
1963,"AZE",0,0,0,0,0
1964,"AZE",0,0,0,0,0
1965,"AZE",0,0,0,0,0
1966,"AZE",0,0,0,0,0
1967,"AZE",0,0,0,0,0
1968,"AZE",0,0,0,0,0
1969,"AZE",0,0,0,0,0
1970,"AZE",0,0,0,0,0
1971,"AZE",0,0,0,0,0
1972,"AZE",0,0,0,0,0
1973,"AZE",0,0,0,0,0
1974,"AZE",0,0,0,0,0
1975,"AZE",0,0,0,0,0
1976,"AZE",0,0,0,0,0
1977,"AZE",0,0,0,0,0
1978,"AZE",0,0,0,0,0
1979,"AZE",0,0,0,0,0
1980,"AZE",0,0,0,0,0
1981,"AZE",0,0,0,0,0
1982,"AZE",0,0,0,0,0
1983,"AZE",0,0,0,0,0
1984,"AZE",0,0,0,0,0
1985,"AZE",0,0,0,0,0
1986,"AZE",0,0,0,0,0
1987,"AZE",0,0,0,0,0
1988,"AZE",0,0,0,0,0
1989,"AZE",0,0,0,0,0
1990,"AZE",0,8858006035.92,0,0.0,0
1991,"AZE",0,8792365810.51,5.0110001564,0.0,0
1992,"AZE",0,4991350457.54,4.95699977875,0.0,0
1993,"AZE",0,3973027396.65,4.87799978256,0.0,0
1994,"AZE",0,3313739673.55,4.76399993896,0.001431415,0
1995,"AZE",0,3052467522.36,4.63800001144,0.002055556,0
1996,"AZE",0,3176749593.12,4.51800012589,0.006354585,0
1997,"AZE",0,3962710163.11,6.58699989319,0.025187933,0
1998,"AZE",0,4446396217.63,7.23299980164,0.037485109,0
1999,"AZE",0,4581222442.46,5.23299980164,0.099228942,0
2000,"AZE",0,5272617196.05,11.8000001907,0.147757576,0
2001,"AZE",0,5707720390.85,10.8999996185,0.305564638,0
2002,"AZE",1,6235795103.89,10.0,4.999713678,0
2003,"AZE",1,7276013031.97,9.19999980927,0.0,0
2004,"AZE",1,8680472168.52,8.0,0.0,0
2005,"AZE",0,13245716099.0,7.30000019073,8.030375356,0
2006,"AZE",1,20983019923.9,6.59999990463,11.99217733,0
2007,"AZE",0,33050343782.8,6.30000019073,14.54,0
2008,"AZE",1,48852482960.1,5.90000009537,17.08,0
2009,"AZE",0,44291490420.5,5.69999980927,27.4,0
2010,"AZE",0,52902703376.1,5.59999990463,46.0,0
2011,"AZE",1,65951627200.2,5.40000009537,50.0,0
2012,"AZE",0,69684317718.9,5.19999980927,54.2,0
2013,"AZE",0,74164435946.5,4.96999979019,73.00000137,0
2014,"AZE",0,75244166772.9,4.90999984741,75.00001564,0
1960,"BEL",0,11658722591.0,0,0,0
1961,"BEL",0,12400145221.6,0,0,0
1962,"BEL",0,13264015675.3,0,0,0
