"unique.id";"datetime";"country";"Year";"WeekDay";"Hour"
234;2011-10-10 20:00:00;"USA";"2011";"Seg";"20"
235;2011-10-10 21:00:00;"USA";"2011";"Seg";"21"
236;2011-10-10 21:00:00;"USA";"2011";"Seg";"21"
237;2011-10-10 21:55:00;"USA";"2011";"Seg";"21"
238;2011-10-10 23:00:00;"USA";"2011";"Seg";"23"
239;2012-10-10 10:15:00;"USA";"2012";"Qua";"10"
240;2012-10-10 18:56:00;"USA";"2012";"Qua";"18"
241;2012-10-10 19:09:00;"USA";"2012";"Qua";"19"
242;2012-10-10 19:40:00;"USA";"2012";"Qua";"19"
243;2012-10-10 19:45:00;"USA";"2012";"Qua";"19"
244;2012-10-10 20:00:00;"USA";"2012";"Qua";"20"
245;2012-10-10 20:00:00;"USA";"2012";"Qua";"20"
246;2012-10-10 20:15:00;"USA";"2012";"Qua";"20"
247;2012-10-10 20:17:00;"CAN";"2012";"Qua";"20"
248;2012-10-10 20:30:00;"USA";"2012";"Qua";"20"
249;2012-10-10 20:30:00;"USA";"2012";"Qua";"20"
250;2012-10-10 20:30:00;"USA";"2012";"Qua";"20"
251;2012-10-10 20:45:00;"USA";"2012";"Qua";"20"
252;2012-10-10 20:48:00;"USA";"2012";"Qua";"20"
253;2012-10-10 21:00:00;"USA";"2012";"Qua";"21"
254;2012-10-10 21:00:00;"USA";"2012";"Qua";"21"
255;2012-10-10 21:00:00;"USA";"2012";"Qua";"21"
256;2012-10-10 23:01:00;"USA";"2012";"Qua";"23"
257;2012-10-10 23:20:00;"USA";"2012";"Qua";"23"
258;2013-10-10 02:32:00;"USA";"2013";"Qui";"02"
259;2013-10-10 04:00:00;"USA";"2013";"Qui";"04"
260;2013-10-10 17:00:00;"USA";"2013";"Qui";"17"
261;2013-10-10 17:10:00;"CAN";"2013";"Qui";"17"
262;2013-10-10 19:00:00;"USA";"2013";"Qui";"19"
263;2013-10-10 19:15:00;"CAN";"2013";"Qui";"19"
264;2013-10-10 19:20:00;"USA";"2013";"Qui";"19"
265;2013-10-10 19:20:00;"USA";"2013";"Qui";"19"
266;2013-10-10 20:00:00;"USA";"2013";"Qui";"20"
267;2013-10-10 20:00:00;"USA";"2013";"Qui";"20"
268;2013-10-10 20:30:00;"USA";"2013";"Qui";"20"
269;2013-10-10 20:30:00;"USA";"2013";"Qui";"20"
