Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.8706851589999998,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,59.68274736,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.007752238000000001,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.017080166,3.3033499269999997,4.831057905,6.284742844,7.671041206,8.996284533999999,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46.0,49.0,53.0,56.0,60.27306504,64.5,68.77,71.2,75.0,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.137571514,0.40094444700000004,0.8646285640000001,1.6758025840000002,2.436912399,3.1569841960000002,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.77264453,
Botswana,BWA,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.3048892530000002,3.262554036,4.289932975,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.74474744,37.31205037,39.36299738,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.005849503000000001,0.014270881000000001,0.027878201000000002,0.040894287,0.053394174,0.078543428,0.128537117,0.15156333800000002,0.223401395,0.268195609,0.311159173,0.37581596100000003,1.0,1.8,2.0,2.2,3.0,3.4,3.6,3.8,4.0,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,88.47,89.84,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.148650057833134,0.38928487026973607,0.621930637874331,1.06819515317938,1.79009341538276,3.5115639019918596,4.959357017385139,7.0376502069315805,10.215365127314499,18.194171915119604,22.5126441012438,29.1504442319344,34.647293217762396,40.6587637475186,45.1142814939245,50.48331469867001,54.8702244711506,58.3501669587243,58.857392135160396,61.509548771110204,63.2909720670007,66.3278506484822,67.2013683742247,71.18731468358949,
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595714223,1.17995597,1.7517133219999999,2.167270203,2.7200043289999996,3.5520072110000003,4.549656748,15.1,24.8,34.0,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.4055681,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
