"year","country","value"
2008,"BEN",1.85
2009,"BEN",2.24
2010,"BEN",3.13
2011,"BEN",4.148323066000001
2012,"BEN",4.5
2013,"BEN",4.9
2014,"BEN",6.0
2015,"BEN",11.25498791
2016,"BEN",11.99404791
1990,"BFA",0.0
1991,"BFA",0
1992,"BFA",0
1993,"BFA",0
1994,"BFA",0
1995,"BFA",0
1996,"BFA",0.000960519
1997,"BFA",0.018686353
1998,"BFA",0.04542348400000001
1999,"BFA",0.061780293
2000,"BFA",0.077080169
2001,"BFA",0.157732465
2002,"BFA",0.200992598
2003,"BFA",0.373440303
2004,"BFA",0.400295285
2005,"BFA",0.469914489
2006,"BFA",0.632707564
2007,"BFA",0.75
2008,"BFA",0.92
2009,"BFA",1.13
2010,"BFA",2.4
2011,"BFA",3.0
2012,"BFA",3.7250349160000003
2013,"BFA",9.1
2014,"BFA",9.4
2015,"BFA",11.38764617
2016,"BFA",13.96
1990,"BGD",0.0
1991,"BGD",0
1992,"BGD",0
1993,"BGD",0
1994,"BGD",0
1995,"BGD",0
1996,"BGD",0
1997,"BGD",0.000751046
1998,"BGD",0.003684813
1999,"BGD",0.036170407
2000,"BGD",0.071039423
2001,"BGD",0.129807974
2002,"BGD",0.139920289
2003,"BGD",0.163877665
2004,"BGD",0.19903633399999998
2005,"BGD",0.241637326
2006,"BGD",1.0
2007,"BGD",1.8
2008,"BGD",2.5
2009,"BGD",3.1
2010,"BGD",3.7
2011,"BGD",4.5
2012,"BGD",5.0
2013,"BGD",6.63
2014,"BGD",13.9
2015,"BGD",14.4
2016,"BGD",18.246938
1990,"BGR",0.0
1991,"BGR",0
1992,"BGR",0
1993,"BGR",0.002339042
1994,"BGR",0.019526669
1995,"BGR",0.11966554900000001
1996,"BGR",0.725251167
1997,"BGR",1.219813132
1998,"BGR",1.844965121
1999,"BGR",2.908154025
2000,"BGR",5.370923469
2001,"BGR",7.612297749
2002,"BGR",9.08
2003,"BGR",12.04
2004,"BGR",18.13
2005,"BGR",19.97
2006,"BGR",27.09
2007,"BGR",33.64
2008,"BGR",39.67
2009,"BGR",45.0
2010,"BGR",46.23
2011,"BGR",47.97999305
2012,"BGR",51.89998767
2013,"BGR",53.0615
2014,"BGR",55.49
2015,"BGR",56.6563
2016,"BGR",59.82554766
1990,"BHR",0.0
1991,"BHR",0
1992,"BHR",0
1993,"BHR",0
1994,"BHR",0
1995,"BHR",0.346205844
1996,"BHR",0.8432542190000001
1997,"BHR",1.6462992019999998
1998,"BHR",3.2182021510000003
1999,"BHR",4.720358118
2000,"BHR",6.1537325460000005
2001,"BHR",15.03863425
2002,"BHR",18.05072089
2003,"BHR",21.55494499
2004,"BHR",21.45868051
2005,"BHR",21.30373351
2006,"BHR",28.24395243
2007,"BHR",32.91
2008,"BHR",51.95
2009,"BHR",53.0
2010,"BHR",55.0
2011,"BHR",76.9999665
2012,"BHR",88.0
2013,"BHR",90.0000397
2014,"BHR",90.50313348
2015,"BHR",93.47830114
2016,"BHR",97.99998070000001
1990,"BHS",0.0
1991,"BHS",0
1992,"BHS",0
1993,"BHS",0
1994,"BHS",0
1995,"BHS",0.960030721
1996,"BHS",1.746950698
1997,"BHS",1.3629539030000002
1998,"BHS",2.33559071
1999,"BHS",3.764557822
2000,"BHS",8.0
2001,"BHS",11.8
2002,"BHS",18.0
2003,"BHS",20.0
2004,"BHS",22.0
2005,"BHS",25.0
2006,"BHS",26.0
2007,"BHS",27.0
2008,"BHS",31.54
2009,"BHS",33.88
2010,"BHS",43.0
2011,"BHS",65.0
2012,"BHS",71.74820281
2013,"BHS",72.0
2014,"BHS",76.92
2015,"BHS",78.0
2016,"BHS",80.0
1990,"BIH",0.0
1991,"BIH",0
1992,"BIH",0
1993,"BIH",0
1994,"BIH",0
1995,"BIH",0
1996,"BIH",0.015125563
1997,"BIH",0.059425563
1998,"BIH",0.14367106
1999,"BIH",0.19437420000000002
2000,"BIH",1.08296075
2001,"BIH",1.2005269509999998
2002,"BIH",2.6482679140000003
2003,"BIH",3.9650368339999997
2004,"BIH",15.46897162
2005,"BIH",21.326701
2006,"BIH",25.12238569
2007,"BIH",27.92
2008,"BIH",34.66
2009,"BIH",37.74
2010,"BIH",42.75
2011,"BIH",47.77
2012,"BIH",52.78
2013,"BIH",57.79
2014,"BIH",60.8
2015,"BIH",65.06550279999999
2016,"BIH",69.33100561
1990,"BLR",0.0
1991,"BLR",0
1992,"BLR",0
1993,"BLR",0
1994,"BLR",0.000485951
1995,"BLR",0.0029212540000000003
1996,"BLR",0.029298294
1997,"BLR",0.049020891
1998,"BLR",0.073868897
1999,"BLR",0.494881245
2000,"BLR",1.860398126
2001,"BLR",4.300616022
2002,"BLR",8.950971315
2003,"BLR",0
2004,"BLR",0
2005,"BLR",0
2006,"BLR",16.2
2007,"BLR",19.7
2008,"BLR",23.0
2009,"BLR",27.43
2010,"BLR",31.8
2011,"BLR",39.64889566
2012,"BLR",46.91
2013,"BLR",54.17
2014,"BLR",59.02
2015,"BLR",67.3
2016,"BLR",71.11304576
1990,"BLZ",0.0
1991,"BLZ",0
1992,"BLZ",0
1993,"BLZ",0
1994,"BLZ",0
1995,"BLZ",0.04539718
1996,"BLZ",0.882807327
1997,"BLZ",1.288582302
1998,"BLZ",2.091516391
1999,"BLZ",4.076740564
2000,"BLZ",5.963835303
2001,"BLZ",0
2002,"BLZ",5.684251214
2003,"BLZ",0
2004,"BLZ",9.8
2005,"BLZ",17.0
2006,"BLZ",24.0
2007,"BLZ",24.6
2008,"BLZ",26.3
2009,"BLZ",27.2
2010,"BLZ",28.2
2011,"BLZ",30.7
2012,"BLZ",31.0
2013,"BLZ",33.6
2014,"BLZ",38.7
2015,"BLZ",41.59
2016,"BLZ",44.57574032
1990,"BMU",0.0
1991,"BMU",0
1992,"BMU",0
1993,"BMU",0
1994,"BMU",0
1995,"BMU",6.838163465
1996,"BMU",16.20246602
1997,"BMU",24.18925674
1998,"BMU",32.10375935
1999,"BMU",39.94758876
2000,"BMU",42.94986002
2001,"BMU",47.5096999
2002,"BMU",52.03159737
2003,"BMU",56.52201218
2004,"BMU",60.99086701
2005,"BMU",65.44706579
2006,"BMU",69.89965516
2007,"BMU",74.35059403
2008,"BMU",82.3
2009,"BMU",83.25
2010,"BMU",84.21
2011,"BMU",88.336
2012,"BMU",91.29930452
2013,"BMU",95.3
2014,"BMU",96.8
2015,"BMU",98.32360965
2016,"BMU",98.0
1990,"BOL",0.0
1991,"BOL",0
1992,"BOL",0
1993,"BOL",0
1994,"BOL",0
1995,"BOL",0.066807568
1996,"BOL",0.196081174
1997,"BOL",0.447839036
1998,"BOL",0.6264840620000001
1999,"BOL",0.981815187
2000,"BOL",1.442763585
2001,"BOL",2.120462534
2002,"BOL",3.117192947
2003,"BOL",3.508596401
2004,"BOL",4.439924601
2005,"BOL",5.227583957
2006,"BOL",6.200671255
2007,"BOL",10.49924432
2008,"BOL",12.5
2009,"BOL",16.8
2010,"BOL",22.4
2011,"BOL",30.0
2012,"BOL",35.34
2013,"BOL",36.99
2014,"BOL",34.6
2015,"BOL",35.56227065
2016,"BOL",39.6975146
1990,"BRA",0.0
1991,"BRA",0.003288171
1992,"BRA",0.012946262
1993,"BRA",0.025498253
1994,"BRA",0.037672709
1995,"BRA",0.105138168
