release_date;title;Year;Month;Day
2000-11-13;Unbreakable                                                   ; 2000; 11; 13
1998-02-13;Sphere                                                        ; 1998; 2; 13
2002-08-02;Signs                                                         ; 2002; 8; 2
2001-12-10;Vanilla Sky                                                   ; 2001; 12; 10
2004-08-12;AVP: Alien vs. Predator                                       ; 2004; 8; 12
1998-12-10;Star Trek: Insurrection                                       ; 1998; 12; 10
2011-03-08;Battle: Los Angeles                                           ; 2011; 3; 8
1989-08-09;The Abyss                                                     ; 1989; 8; 9
2002-02-08;Rollerball                                                    ; 2002; 2; 8
2004-09-17;Sky Captain and the World of Tomorrow                         ; 2004; 9; 17
1999-08-06;Mystery Men                                                   ; 1999; 8; 6
1998-06-19;The X Files                                                   ; 1998; 6; 19
2003-03-21;Dreamcatcher                                                  ; 2003; 3; 21
1999-03-30;The Matrix                                                    ; 1999; 3; 30
2004-12-08;Blade: Trinity                                                ; 2004; 12; 8
2012-09-12;Resident Evil: Retribution                                    ; 2012; 9; 12
2008-08-22;Death Race                                                    ; 2008; 8; 22
2005-11-06;Zathura: A Space Adventure                                    ; 2005; 11; 6
2002-07-26;Austin Powers in Goldmember                                   ; 2002; 7; 26
2009-10-15;Astro Boy                                                     ; 2009; 10; 15
1993-06-11;Jurassic Park                                                 ; 1993; 6; 11
1999-07-28;Deep Blue Sea                                                 ; 1999; 7; 28
2011-09-08;Contagion                                                     ; 2011; 9; 8
2008-06-11;The Happening                                                 ; 2008; 6; 11
2004-04-02;Hellboy                                                       ; 2004; 4; 2
2003-12-25;Paycheck                                                      ; 2003; 12; 25
2002-09-27;The Tuxedo                                                    ; 2002; 9; 27
1997-11-12;Alien: Resurrection                                           ; 1997; 11; 12
1999-02-11;My Favorite Martian                                           ; 1999; 2; 11
2009-11-19;Planet 51                                                     ; 2009; 11; 19
2002-12-13;Star Trek: Nemesis                                            ; 2002; 12; 13
2011-05-05;Priest                                                        ; 2011; 5; 5
1997-08-15;Event Horizon                                                 ; 1997; 8; 15
2000-01-14;Supernova                                                     ; 2000; 1; 14
2008-07-08;Meet Dave                                                     ; 2008; 7; 8
2008-12-25;The Spirit                                                    ; 2008; 12; 25
2000-04-28;The Flintstones in Viva Rock Vegas                            ; 2000; 4; 28
2010-09-09;Resident Evil: Afterlife                                      ; 2010; 9; 9
1978-12-13;Superman                                                      ; 1978; 12; 13
1996-06-26;The Nutty Professor                                           ; 1996; 6; 26
1992-05-22;Alien³                                                        ; 1992; 5; 22
1996-08-02;Chain Reaction                                                ; 1996; 8; 2
2005-11-30;Æon Flux                                                      ; 2005; 11; 30
2004-07-23;Thunderbirds                                                  ; 2004; 7; 23
1980-12-04;Superman II                                                   ; 1980; 12; 4
2011-03-03;The Adjustment Bureau                                         ; 2011; 3; 3
2011-06-08;Super 8                                                       ; 2011; 6; 8
1995-06-09;Congo                                                         ; 1995; 6; 9
2009-03-19;Knowing                                                       ; 2009; 3; 19
1995-03-10;Outbreak                                                      ; 1995; 3; 10
2009-03-12;Race to Witch Mountain                                        ; 2009; 3; 12
2011-02-18;I Am Number Four                                              ; 2011; 2; 18
2004-09-10;Resident Evil: Apocalypse                                     ; 2004; 9; 10
2005-06-10;The Adventures of Sharkboy and Lavagirl                       ; 2005; 6; 10
2013-03-22;The Host                                                      ; 2013; 3; 22
1996-08-09;Escape from L.A.                                              ; 1996; 8; 9
1999-08-06;The Iron Giant                                                ; 1999; 8; 6
2009-09-03;Gamer                                                         ; 2009; 9; 3
2000-03-03;What Planet Are You From?                                     ; 2000; 3; 3
2009-02-27;Street Fighter: The Legend of Chun-Li                         ; 2009; 2; 27
2001-11-02;The One                                                       ; 2001; 11; 2
2015-03-04;Chappie                                                       ; 2015; 3; 4
2001-10-22;K-PAX                                                         ; 2001; 10; 22
2001-12-25;Kate & Leopold                                                ; 2001; 12; 25
1972-03-20;Solaris                                                       ; 1972; 3; 20
2006-09-14;Happily N'Ever After                                          ; 2006; 9; 14
1996-11-21;Star Trek: First Contact                                      ; 1996; 11; 21
2008-07-10;Journey to the Center of the Earth                            ; 2008; 7; 10
1999-12-23;Galaxy Quest                                                  ; 1999; 12; 23
2005-01-15;The Hitchhiker's Guide to the Galaxy                          ; 2005; 1; 15
2007-09-20;Resident Evil: Extinction                                     ; 2007; 9; 20
1984-12-14;Dune                                                          ; 1984; 12; 14
2008-08-20;Babylon A.D.                                                  ; 2008; 8; 20
1996-07-19;Multiplicity                                                  ; 1996; 7; 19
